,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063
demandDE-10,1,1.008437841,1.020180462,1.031728494,1.052306247,1.057746628,1.069550737,1.092234315,1.089820964,1.100568057,1.127048408,1.13126077,1.157287093,1.179782776,1.18690417,1.202015064,1.219883121,1.23778063,1.241253385,1.267276691,1.282583037,1.289822818,1.307334071,1.33095695,1.351881271,1.359483315,1.378500138,1.410414622,1.409941356,1.410848856,1.42484113,1.427519507,1.450170229,1.475794927,1.506546183,1.509945371,1.533178766,1.539884035,1.559395098,1.581100816,1.612789651,1.625576825,1.638355456,1.639230689,1.671509765,1.699617078,1.700749799,1.719029381,1.736618269,1.761289642
demandDE-11,1,1.013464053,1.021921891,1.025443348,1.0378549,1.049138903,1.054767546,1.067723681,1.083819799,1.090573318,1.08655949,1.097123624,1.108820521,1.131035739,1.134386767,1.131009099,1.136422822,1.142699184,1.167261265,1.192818649,1.204262337,1.229698541,1.229637261,1.235806286,1.256080367,1.274797939,1.278211146,1.299738799,1.32683258,1.335565425,1.336136298,1.347859323,1.350995481,1.353925123,1.365964761,1.363623716,1.357788348,1.366450271,1.374304951,1.391476352,1.383957942,1.39173328,1.380972692,1.392829187,1.412808601,1.404379821,1.401181019,1.40922245,1.419314316,1.437353571
demandDE-12,1,1.021621966,1.030521166,1.034812677,1.052548596,1.07913896,1.091263652,1.087182296,1.10866309,1.126677522,1.143412232,1.148970119,1.17012736,1.178170875,1.199546921,1.197487934,1.211409474,1.213059557,1.242502397,1.241072628,1.261565693,1.280894177,1.298211834,1.308689264,1.330799622,1.352750007,1.354060928,1.372583779,1.374116617,1.377854857,1.407273298,1.427203018,1.415062281,1.440131437,1.454478327,1.45259402,1.456319109,1.464989806,1.477010598,1.51854119,1.519643217,1.536961141,1.542735268,1.566167261,1.598868382,1.612370243,1.627192955,1.643512214,1.648075456,1.686497208
demandDE-13,1,1.028908515,1.022643059,1.020193028,1.026846771,1.033137237,1.044160544,1.071195707,1.074852434,1.096097592,1.107065514,1.123700789,1.132068039,1.135255214,1.1339707,1.137610071,1.163644288,1.178787425,1.183660852,1.196406017,1.220518345,1.239933988,1.238326132,1.249130239,1.259900255,1.266596481,1.287065358,1.303081639,1.315856645,1.323322626,1.322211059,1.338995008,1.368362242,1.404396993,1.424035103,1.431632518,1.4425616,1.438972089,1.447870988,1.459812257,1.488856721,1.498557875,1.502423509,1.487564125,1.511621008,1.53851916,1.563463282,1.551166952,1.57224904,1.577490076
demandDE-14,1,1.016680366,1.02983121,1.058101914,1.070894293,1.077864266,1.08737986,1.082944056,1.090267679,1.117467233,1.118072169,1.143199882,1.161952563,1.163146131,1.175577038,1.174309533,1.180135698,1.195654363,1.208795071,1.223698923,1.232423402,1.2537407,1.277569155,1.30614552,1.296559786,1.303228474,1.330426516,1.345732752,1.355415543,1.353433189,1.375866677,1.382103218,1.391093884,1.392041141,1.389169884,1.42205431,1.415704122,1.44347325,1.450015426,1.456418601,1.453774511,1.462510141,1.500106827,1.515611275,1.528699124,1.545858972,1.569824215,1.600985156,1.611088047,1.637108508
demandDE-15,1,1.000687234,1.014347291,1.038858407,1.062277428,1.071714617,1.072103941,1.073009611,1.09693706,1.103860546,1.117649738,1.122509779,1.133912214,1.151513651,1.160368522,1.16578382,1.184464936,1.186809571,1.184162849,1.18641422,1.192087126,1.18754929,1.19143151,1.205525219,1.198244309,1.201259485,1.200178854,1.208042402,1.205361119,1.222729461,1.226755214,1.224344593,1.235402758,1.244035573,1.246627248,1.263493296,1.258335429,1.27511687,1.284972882,1.316562441,1.330632335,1.32491241,1.34032185,1.341474896,1.345372497,1.370116575,1.364442272,1.387622954,1.412187758,1.436997834
demandDE-16,1,1.005813092,1.012618746,1.023269019,1.043698421,1.043005804,1.041798545,1.04155737,1.049823366,1.048992032,1.06137299,1.064495089,1.07740947,1.087407092,1.098742017,1.114409846,1.119142656,1.130636737,1.147042966,1.181206752,1.173540042,1.174279925,1.18444356,1.183468588,1.206193829,1.237670816,1.231530292,1.234600187,1.253779447,1.265180315,1.258996957,1.287159557,1.274735974,1.302367634,1.323923473,1.32707129,1.316576157,1.333693513,1.363156914,1.3742473,1.392603927,1.422645298,1.428426566,1.442291304,1.457328578,1.474538635,1.486038834,1.520688675,1.535301923,1.537894751
demandDE-17,1,1.006118892,1.017070543,1.033074031,1.053503016,1.067031069,1.066662528,1.066458181,1.089062886,1.104582859,1.121808961,1.120776051,1.144761198,1.162660018,1.176134337,1.183447481,1.209076349,1.237266978,1.259863592,1.280373677,1.291755903,1.297043121,1.310303591,1.308986768,1.307098288,1.338591164,1.351392572,1.374663175,1.388812842,1.395377547,1.412350327,1.421318485,1.437743197,1.470089891,1.474389875,1.488992465,1.506086106,1.521134238,1.542155196,1.562424083,1.565465345,1.584479236,1.58385398,1.600891013,1.608287826,1.62379203,1.659250533,1.681773619,1.701564626,1.704135599
demandDE-18,1,1.000094849,1.021369225,1.039110363,1.052883331,1.062727355,1.061053698,1.058307438,1.074780989,1.070174997,1.094662166,1.109325092,1.125547754,1.142639537,1.147554818,1.180112181,1.187918099,1.206649979,1.223562477,1.232733709,1.224345912,1.222272195,1.213303522,1.21248684,1.212724474,1.221580909,1.255367053,1.258742489,1.282634538,1.302405227,1.306288959,1.311338119,1.323490732,1.348804115,1.369611874,1.387997793,1.406260112,1.437913987,1.45749006,1.483034148,1.482095893,1.480813732,1.490298858,1.498130811,1.502777335,1.535858149,1.533811824,1.562083223,1.566194656,1.600458385
demandDE-19,1,1.012406504,1.008193015,1.015791955,1.034805624,1.048572949,1.078218567,1.08508002,1.089594307,1.09801069,1.125158697,1.12443604,1.142670654,1.136081032,1.140419227,1.15490852,1.16646673,1.169116467,1.201647389,1.231563475,1.243903604,1.24481577,1.257080193,1.269549205,1.281484842,1.302475069,1.293277627,1.295681781,1.304436712,1.30947157,1.331187936,1.346763485,1.376508949,1.380628157,1.382744691,1.380133925,1.39373053,1.411760104,1.440363197,1.457871885,1.45081524,1.473369214,1.485075276,1.48750655,1.485493522,1.5079501,1.540363035,1.563537405,1.564440185,1.580483246
demandDE-20,1,1.006527506,1.02036179,1.031272868,1.038366081,1.050028722,1.049466979,1.0411809,1.04632646,1.065468058,1.075399739,1.085365737,1.09066673,1.111018495,1.119342207,1.121291101,1.136492147,1.136392836,1.136377253,1.147048492,1.169801252,1.195356544,1.199622413,1.224941594,1.227107743,1.245168415,1.261867121,1.277131864,1.293147897,1.314192797,1.311020849,1.347737153,1.354482754,1.364109175,1.373886178,1.394566363,1.411506802,1.41754851,1.424437253,1.42758339,1.455817819,1.477691411,1.488961094,1.481113341,1.512062194,1.545924051,1.567729837,1.565636714,1.557299843,1.574446044
